PacketID,SourceNode,GenerationTime,ReceptionTime,Delay_s
3,13,0.8,203.147,202.347
21,11,2,203.147,201.147
33,17,2.01,203.147,201.137
44,37,2.02,203.147,201.127
53,62,2.03,203.147,201.117
61,88,2.04,203.147,201.107
83,23,2.15,203.147,200.997
1,7,0.8,203.147,202.347
13,83,0.8,203.147,202.347
11,75,0.8,203.147,202.347
2,9,0.8,415.72,414.92
0,1,0.8,415.72,414.92
107,0,202,415.72,213.72
118,3,202.01,415.72,213.71
127,9,202.02,415.72,213.7
135,47,202.03,415.72,213.69
142,52,202.04,415.72,213.68
148,61,202.05,415.72,213.67
154,67,202.06,415.72,213.66
160,83,202.07,415.72,213.65
166,86,202.08,415.72,213.64
171,93,202.09,415.72,213.63
183,8,202.2,415.72,213.52
17,8,2,415.72,413.72
29,18,2.01,415.72,413.71
40,47,2.02,415.72,413.7
50,52,2.03,415.72,413.69
58,57,2.04,415.72,413.68
64,61,2.05,415.72,413.67
68,72,2.06,415.72,413.66
72,86,2.07,415.72,413.65
86,3,2.18,415.72,413.54
4,15,0.8,415.72,414.92
20,21,2,415.72,413.72
32,24,2.01,415.72,413.71
43,25,2.02,415.72,413.7
52,29,2.03,415.72,413.69
60,36,2.04,415.72,413.68
66,40,2.05,415.72,413.67
70,80,2.06,415.72,413.66
74,85,2.07,415.72,413.65
76,96,2.08,415.72,413.64
88,20,2.19,415.72,413.53
