Round,Reward
1,0
1,0.599999
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,0.599999
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,0.599999
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,0.599999
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,0.599999
1,-3.68e-07
1,-3.68e-07
1,0.599999
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,0.599999
1,0.599999
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,-3.68e-07
1,0.599999
1,-3.68e-07
1,-3.68e-07
2,-0.300112
2,-0.200001
2,-0.300026
2,-0.200168
2,-0.300024
2,-0.200169
2,-0.300011
2,-0.200001
2,-0.300033
2,-0.300019
2,-0.200151
2,0.299988
2,-0.300019
2,-0.200001
2,-0.300019
2,-0.300033
2,-0.300035
2,0.399827
2,-0.300019
2,-0.200001
2,-0.300169
2,-0.300034
2,-0.300031
2,-0.300024
2,-0.300019
2,-0.300021
2,-0.300023
2,-0.300019
2,-0.300033
2,-0.30003
2,-0.300031
2,-0.300112
2,-0.300028
2,-0.300019
2,-0.300024
2,-0.300157
2,-0.300019
2,-0.300035
2,-0.300112
2,-0.200142
2,-0.200166
2,-0.200001
2,-0.300024
2,-0.300019
2,-0.300023
2,-0.200001
2,-0.300028
2,-0.300027
2,-0.300027
2,-0.300112
2,-0.200158
2,-0.300033
2,-0.30002
2,-0.300034
2,-0.300027
2,-0.300019
2,-0.300022
2,-0.30002
2,-0.200139
2,-0.300033
2,-0.300019
2,-0.200001
2,-0.200146
2,-0.300022
2,-0.300019
2,-0.300023
2,0.299988
2,-0.300112
2,-0.300019
2,-0.300154
2,-0.300023
2,-0.300112
2,-0.300011
2,-0.300023
2,-0.300024
2,-0.300035
2,-0.200001
2,-0.300019
2,-0.300023
2,-0.300026
2,-0.300026
2,-0.200001
2,-0.300024
2,-0.300112
2,-0.300026
2,-0.200161
2,-0.200134
2,-0.300029
2,0
3,0.299867
3,0.299959
3,0.299954
3,0.299796
3,-0.200207
3,0.299941
3,-0.400201
3,0.29997
3,-0.300198
3,0.299954
3,0.299948
3,0.299962
3,0.199826
3,-0.300122
3,0.299956
3,0.299966
3,-0.300048
3,0.399966
3,0.299929
3,-0.200196
3,-0.300293
3,0.39998
3,0.199979
3,-0.300187
3,-0.200031
3,-0.300051
3,0.299955
3,0.399975
3,0.299959
3,0.399965
3,0.299938
3,-0.300066
3,0.299867
3,-0.266797
3,-0.300058
3,0.299961
3,0.399975
3,-0.200157
3,0.299941
3,-0.200223
3,0.299864
3,-0.400176
3,-0.4002
3,-0.400019
3,0.29995
3,-0.200182
3,0.299958
3,0.299953
3,0.299944
3,0.399972
3,0.299865
3,-0.350159
3,0.299948
3,-0.300045
3,-0.200204
3,0.299946
3,0.299947
3,0.299944
3,0.299949
3,-0.366806
3,0.299943
3,0.299962
3,0.199979
3,-0.233487
3,-0.400164
3,0.299947
3,0.299953
3,-0.200286
3,0.299946
3,0.299877
3,-0.300138
3,0.299951
3,-0.200155
3,-0.266812
3,0.399976
3,-0.200112
3,-0.300264
3,0.29997
3,0.299941
3,0.399974
3,0.299943
3,-0.400021
3,0.299961
3,0.299957
3,0.299951
3,-0.250125
3,0.299955
3,0.19998
3,0.299945
3,0.299868
3,0.399972
3,-0.400191
3,-0.400152
3,0.299945
3,0
